t,HR_logit,HR_var
1,0.05990333333334757,1.8771641329633808e-07
2,0.060068290849522886,2.0019250248712014e-07
3,0.059659433848383285,2.1162853769794812e-07
4,0.0586946841414829,2.2164301065504266e-07
5,0.05744069689143471,2.3073986427008392e-07
6,0.057242589209816126,2.440084063878948e-07
7,0.057030080957679495,2.5792143471415427e-07
8,0.05541342637567264,2.6622236857675e-07
9,0.05527197148364785,2.811627341020185e-07
10,0.05454452189475269,2.939215460894116e-07
11,0.05279624795789944,3.01470338488377e-07
12,0.053320604614159266,3.2125707390765163e-07
13,0.05295568986265432,3.3715896639142096e-07
14,0.05200539504507699,3.4997397551843877e-07
15,0.052432157191636714,3.7203488051779346e-07
16,0.05214869371433843,3.906150326233705e-07
17,0.050590697247859355,4.0045086916147496e-07
18,0.04998463227222821,4.170025800995683e-07
19,0.0492221513546493,4.3259413374254084e-07
20,0.04893153668163827,4.5244163214929086e-07
21,0.04874009711219037,4.7395348883909655e-07
22,0.048927001730121496,5.000499718647945e-07
23,0.04839329295851049,5.203310828340218e-07
24,0.04641360230821235,5.25514774569139e-07
25,0.04739017830461244,5.621121290077383e-07
26,0.04586568373722396,5.720077221726519e-07
27,0.047686891242107114,6.221194247129411e-07
28,0.04670867138500504,6.405283877445862e-07
29,0.045300215787170445,6.526144386788127e-07
30,0.04392495297706612,6.637828802223695e-07
31,0.044107922232508964,6.970376509198504e-07
32,0.044690418540297434,7.38380924091845e-07
33,0.045242233326091105,7.820148752581403e-07
34,0.04512960540038352,8.171288491341789e-07
35,0.04537601525110718,8.601988301733319e-07
36,0.04507821600931927,8.954520396641792e-07
37,0.04402570526086501,9.168378725007832e-07
38,0.04591650715522719,9.982722980104631e-07
39,0.04571401275406588,1.041922228665289e-06
40,0.04730321611813288,1.1279094447006404e-06
41,0.0458163667411001,1.1484888291014086e-06
42,0.04848434789791047,1.2701637043810706e-06
43,0.046643518518519875,1.2866869415142467e-06
44,0.04883452713366534,1.4097886394711862e-06
45,0.04776795685886574,1.4514240772326905e-06
46,0.049259433013873304,1.569363356109679e-06
47,0.05234033554208347,1.748231524651966e-06
48,0.050768029159073254,1.7923396576180585e-06
49,0.05552072721573537,2.0546264424877078e-06
50,0.0588259697158265,2.29684609013977e-06
51,0.05910874068849965,2.4513993680398184e-06
52,0.06394640682094939,2.8041442835022497e-06
53,0.06080776737901021,2.858224453500345e-06
54,0.06032185868059284,3.0205228629389016e-06
55,0.059884314392650524,3.192592904750636e-06
56,0.06243213897937053,3.5308461214761185e-06
57,0.05816123013575254,3.5243197223733235e-06
58,0.059498599631122015,3.822564128223066e-06
59,0.05687100522951804,3.895750580600099e-06
60,0.06006931074316478,4.348170092414777e-06
